players_id,games_id,id,competitions_id,clubs_id,goals,assists,minutes_played,yellow_cards,red_cards
256361,3614756,3614756_256361,IT1,3522,1,0,86,1,0
203842,3614756,3614756_203842,IT1,3522,0,0,64,0,0
96806,3614756,3614756_96806,IT1,3522,0,0,74,0,0
624548,3614756,3614756_624548,IT1,3522,0,0,16,0,0
344072,3614756,3614756_344072,IT1,3522,0,0,90,0,0
268178,3614756,3614756_268178,IT1,3522,0,0,90,0,0
292772,3614756,3614756_292772,IT1,3522,0,0,90,0,0
197929,3614756,3614756_197929,IT1,3522,0,0,90,0,0
425918,3614756,3614756_425918,IT1,3522,0,0,90,0,0
357003,3614756,3614756_357003,IT1,3522,0,0,90,1,0
241076,3614756,3614756_241076,IT1,3522,0,0,90,0,0
84765,3614756,3614756_84765,IT1,1038,0,0,90,0,0
197170,3612896,3612896_197170,TR1,449,0,0,90,0,0
292199,3612896,3612896_292199,TR1,449,0,0,90,0,0
33481,3612896,3612896_33481,TR1,449,0,0,26,0,0
182688,3612896,3612896_182688,TR1,449,0,0,5,0,0
203412,3612896,3612896_203412,TR1,449,1,0,78,0,0
162571,3612896,3612896_162571,TR1,449,0,1,85,0,0
271495,3612896,3612896_271495,TR1,449,0,0,5,0,0
74641,3612896,3612896_74641,TR1,449,0,0,85,0,0
38593,3612896,3612896_38593,TR1,449,0,0,90,0,0
175988,3612896,3612896_175988,TR1,449,0,0,90,0,0
662131,3612896,3612896_662131,TR1,449,0,0,12,0,0
483063,3612896,3612896_483063,TR1,449,0,0,64,0,0
148751,3612896,3612896_148751,TR1,449,0,0,90,0,0
395862,3612896,3612896_395862,TR1,449,0,0,75,2,0
56046,3612896,3612896_56046,TR1,11282,0,0,20,0,0
237125,3612896,3612896_237125,TR1,11282,1,0,70,0,0
60799,3612896,3612896_60799,TR1,11282,0,0,1,0,0
422203,3612896,3612896_422203,TR1,11282,0,0,90,0,0
50655,3612896,3612896_50655,TR1,11282,0,0,70,0,0
64411,3612896,3612896_64411,TR1,11282,0,0,90,0,0
356099,3612896,3612896_356099,TR1,11282,0,0,81,0,0
228940,3612896,3612896_228940,TR1,11282,0,0,1,0,0
70412,3612896,3612896_70412,TR1,11282,0,0,90,0,0
184440,3612896,3612896_184440,TR1,11282,0,0,9,0,0
16058,3612896,3612896_16058,TR1,11282,0,0,90,0,0
397090,3612896,3612896_397090,TR1,11282,0,1,90,1,0
358143,3612896,3612896_358143,TR1,11282,0,0,90,1,0
338794,3612896,3612896_338794,TR1,11282,0,0,90,0,0
278654,3612896,3612896_278654,TR1,11282,0,0,90,0,0
112343,3614756,3614756_112343,IT1,1038,0,0,90,0,0
226524,3614756,3614756_226524,IT1,1038,0,0,77,1,0
144143,3614756,3614756_144143,IT1,1038,0,0,90,0,0
75942,3614756,3614756_75942,IT1,1038,0,0,90,1,0
434676,3614756,3614756_434676,IT1,1038,0,0,13,0,0
49275,3614756,3614756_49275,IT1,1038,0,0,73,2,0
25488,3614756,3614756_25488,IT1,1038,0,0,90,0,0
197491,3614756,3614756_197491,IT1,1038,0,0,90,0,0
284595,3614756,3614756_284595,IT1,1038,0,0,77,0,0
310458,3614756,3614756_310458,IT1,1038,0,0,90,0,0
238537,3614756,3614756_238537,IT1,1038,0,0,90,0,0
56416,3614621,3614621_56416,IT1,6195,0,0,15,0,0
56416,3614739,3614739_56416,IT1,6195,0,0,71,0,0
